Facility Name,Latitude,Longitude,Geometry,Sectors_Industry_Type,Total reported direct emissions
ADM SOUTHERN CELLULOSE PROD.IN,34.997921,-85.318581,"{""type"":""Point"",""coordinates"":[-85.318581,34.997921]}",Pulp and Paper,24860.4
ADM Valdosta,-30.8325,-83.248056,"{""type"":""Point"",""coordinates"":[-83.248056,-30.8325]}",Other,29482.152
ADRIAN LANDFILL,41.890683,-83.992445,"{""type"":""Point"",""coordinates"":[-83.992445,41.890683]}",Wastes,14142.25
ADS-CEDAR HILL LANDFILL,33.6845,-86.2525,"{""type"":""Point"",""coordinates"":[-86.2525,33.6845]}",Waste,97230.5
ADS-PECAN ROW-EVERGREEN LANDFILLS,30.81501,-83.36245,"{""type"":""Point"",""coordinates"":[-83.36245,30.81501]}",Waste,137389
ADS-STAR RIDGE LANDFILL,33.605845,-86.5201,"{""type"":""Point"",""coordinates"":[-86.5201,33.605845]}",Waste,90617.5
ADS/MCLEAN COUNTY LANDFILL,40.47046,-89.0377,"{""type"":""Point"",""coordinates"":[-89.0377,40.47046]}",Waste,24335.75
ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,44.4093,-89.854855,"{""type"":""Point"",""coordinates"":[-89.854855,44.4093]}",Wastes,35228.75
ADVANCED DISPOSAL EMERALD PARK LANDFILL LLC,-42.849682,-88.07639,"{""type"":""Point"",""coordinates"":[-88.07639,-42.849682]}",Waste,41352.1
ADVANCED DISPOSAL GLACIER RIDGE LANDFILL LLC,43.45953,-88.55413,"{""type"":""Point"",""coordinates"":[-88.55413,43.45953]}",Waste,81900.2
"ADVANCED DISPOSAL HICKORY MEADOWS LANDFILL, LLC",44.107451,-88.194894,"{""type"":""Point"",""coordinates"":[-88.194894,44.107451]}",Waste,54708.45
"ADVANCED DISPOSAL MALLARD RIDGE LANDFILL, INC",42.643578,-88.717968,"{""type"":""Point"",""coordinates"":[-88.717968,42.643578]}",Waste,67067
"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",39.73501,-92.53368,"{""type"":""Point"",""coordinates"":[-92.53368,39.73501]}",Waste,27558.75
ADVANCED DISPOSAL OAK RIDGE LANDFILL,38.560139,-90.532222,"{""type"":""Point"",""coordinates"":[-90.532222,38.560139]}",Waste,8606
ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,42.14,-89.085,"{""type"":""Point"",""coordinates"":[-89.085,42.14]}",Waste,168657.45
ADVANCED DISPOSAL ROLLING HILLS LANDFILL INC,45.24595,-93.87246,"{""type"":""Point"",""coordinates"":[-93.87246,45.24595]}",Waste,5997
ADVANCED DISPOSAL SEVEN MILE CREEK LANDFILL LLC,44.837534,-91.367144,"{""type"":""Point"",""coordinates"":[-91.367144,44.837534]}",Waste,35316.95
ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,39.822232,-89.043692,"{""type"":""Point"",""coordinates"":[-89.043692,39.822232]}",Waste,28840.9
ADVANCED DISPOSAL ZION LANDFILL,42.483242,-87.873878,"{""type"":""Point"",""coordinates"":[-87.873878,42.483242]}",Waste,36712.3
AES - PUERTO RICO COGENERATION PLANT,17.9451,-66.1503,"{""type"":""Point"",""coordinates"":[-66.1503,17.9451]}",Power Plants,3433759.136
AES Alamitos,33.7688,-118.1009,"{""type"":""Point"",""coordinates"":[-118.1009,33.7688]}",Power Plants,684931.612
AES Beaver Valley LLC,40.6558,-80.3556,"{""type"":""Point"",""coordinates"":[-80.3556,40.6558]}",Power Plants,27740.132
AES HAWAII INC,21.301222,-158.107306,"{""type"":""Point"",""coordinates"":[-158.107306,21.301222]}",Power Plants,1230819.89
AES Huntington Beach,33.6436,-117.9788,"{""type"":""Point"",""coordinates"":[-117.9788,33.6436]}",Power Plants,432232.948
AES Redondo Beach,33.8504,-118.395,"{""type"":""Point"",""coordinates"":[-118.395,33.8504]}",Power Plants,318386.968
"AES SHADY POINT, LLC",35.1929,-94.6469,"{""type"":""Point"",""coordinates"":[-94.6469,35.1929]}","Power Plants,Suppliers of CO2",2278093.974
AES Warrior Run,39.5944,-78.7456,"{""type"":""Point"",""coordinates"":[-78.7456,39.5944]}","Power Plants,Suppliers of CO2",1324825.018
AFTON CHEMICAL CORP,38.60263,-90.1675,"{""type"":""Point"",""coordinates"":[-90.1675,38.60263]}",Petroleum and Natural Gas Systems,49461.264
AG Energy,44.7258,-75.4417,"{""type"":""Point"",""coordinates"":[-75.4417,44.7258]}",Power Plants,9454.464
AG PROCESSING INC,43.09748,-94.65181,"{""type"":""Point"",""coordinates"":[-94.65181,43.09748]}",Other,25088.156
AG PROCESSING INC A COOP-MANNING,41.920794,-95.070791,"{""type"":""Point"",""coordinates"":[-95.070791,41.920794]}",Other,18891.928
AG PROCESSING INC-EAGLE GROVE,42.669167,-93.904444,"{""type"":""Point"",""coordinates"":[-93.904444,42.669167]}",Other,131086.096
AG PROCESSING INCORPORATED A COOPERATIVE,44.93505,-96.05722,"{""type"":""Point"",""coordinates"":[-96.05722,44.93505]}",Other,32544.728
AGC FLAT GLASS N AMERICA INC,37.70034,-84.26929,"{""type"":""Point"",""coordinates"":[-84.26929,37.70034]}",Minerals,130879.048
AGC FLAT GLASS NORTH AMERICA SPRING HILL PLANT,38.759188,-94.825252,"{""type"":""Point"",""coordinates"":[-94.825252,38.759188]}",Minerals,100719.08
AGC-GREENLAND FLATGLASS PLANT,36.483431,-82.77155,"{""type"":""Point"",""coordinates"":[-82.77155,36.483431]}",Minerals,129688.14
AGP SOY/CORN PROCESSING,40.58971,-98.33963,"{""type"":""Point"",""coordinates"":[-98.33963,40.58971]}",Other,153707.268
AGRI ENERGY LLC,43.648333,-96.224444,"{""type"":""Point"",""coordinates"":[-96.224444,43.648333]}","Chemicals,Waste",327.448
AGRIUM US BORGER NITROGEN OPERATIONS,35.6417,-101.4228,"{""type"":""Point"",""coordinates"":[-101.4228,35.6417]}","Chemicals,Suppliers of CO2",828959.472
AGRIUM US INC,42.739417,-111.541421,"{""type"":""Point"",""coordinates"":[-111.541421,42.739417]}",Chemicals,115061.572
AGRIUM US INC - KFO,46.165957,-119.017218,"{""type"":""Point"",""coordinates"":[-119.017218,46.165957]}",Chemicals,155888.044
"AIR LIQUID LARGE INDUSTRIES US, LP",33.916355,-118.418634,"{""type"":""Point"",""coordinates"":[-118.418634,33.916355]}",Chemicals,550717.4
AIR LIQUIDE - CORPUS CHRISTI SMR,27.813911,-97.472347,"{""type"":""Point"",""coordinates"":[-97.472347,27.813911]}",Chemicals,478965.4
AIR LIQUIDE - FREEPORT HYCO PLANT,28.98037,-95.38396,"{""type"":""Point"",""coordinates"":[-95.38396,28.98037]}",Chemicals,172195.796
AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT,29.981116,-93.952389,"{""type"":""Point"",""coordinates"":[-93.952389,29.981116]}",Chemicals,212034.252
AIR LIQUIDE AMERICA CORP,32.4478,-94.6875,"{""type"":""Point"",""coordinates"":[-94.6875,32.4478]}",Chemicals,495416.2
AIR LIQUIDE AMERICA CORP.,30.21023,-90.99085,"{""type"":""Point"",""coordinates"":[-90.99085,30.21023]}",Chemicals,459081.672
AIR LIQUIDE GEISMAR UTILITY SERVICES,30.21023,-90.99085,"{""type"":""Point"",""coordinates"":[-90.99085,30.21023]}",Power Plants,136964.984
AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT,38.047952,-122.256895,"{""type"":""Point"",""coordinates"":[-122.256895,38.047952]}",Chemicals,817993.8
AIR PROD & CHEM TAMAQUA PLT,40.835067,-76.026045,"{""type"":""Point"",""coordinates"":[-76.026045,40.835067]}","Chemicals,Industrial Gas Suppliers",308119.2
