Facility Name,Latitude,Longitude,Geometry,Sectors_Industry_Type,Total reported direct emissions
Hood Container Corporation,36.083371,-87.93641,"{""type"":""Point"",""coordinates"":[-87.93641,36.083371]}","Pulp and Paper,Waste",135007.272
"Hood Container of Louisiana, LLC",30.7677,-91.27633,"{""type"":""Point"",""coordinates"":[-91.27633,30.7677]}",Pulp and Paper,121851.902
Hoosier Energy Lawrence Co Station,38.8003,-86.4511,"{""type"":""Point"",""coordinates"":[-86.4511,38.8003]}",Power Plants,11258.808
Hoot Lake,46.29,-96.0428,"{""type"":""Point"",""coordinates"":[-96.0428,46.29]}",Power Plants,340741.942
Hoover Diana Platform (AC25-HA),26.9389,-94.6887,"{""type"":""Point"",""coordinates"":[-94.6887,26.9389]}",Petroleum and Natural Gas Systems,102560.756
Hopedale Fractionation Facility,40.332258,-80.936583,"{""type"":""Point"",""coordinates"":[-80.936583,40.332258]}","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",159001.2
Hopedale Mining LLC,40.350826,-80.918793,"{""type"":""Point"",""coordinates"":[-80.918793,40.350826]}",Other,151287.75
Hopeton Gas Plant,36.6823,-98.6383,"{""type"":""Point"",""coordinates"":[-98.6383,36.6823]}",Petroleum and Natural Gas Systems,24916.308
Hopewell Cogeneration Facility,37.2914,-77.2821,"{""type"":""Point"",""coordinates"":[-77.2821,37.2914]}",Power Plants,776170.828
Hopewell Power Station,37.2969,-77.2833,"{""type"":""Point"",""coordinates"":[-77.2833,37.2969]}",Power Plants,4819.204
"Hopkins County Coal, LLC",37.345273,-87.436094,"{""type"":""Point"",""coordinates"":[-87.436094,37.345273]}",Other,302985.25
Hormel Foods,41.423056,-96.485278,"{""type"":""Point"",""coordinates"":[-96.485278,41.423056]}",Other,25007.948
"Horn Mountain MMS Platform ID 02481, Complex ID 876-1",29.78026,-95.62931,"{""type"":""Point"",""coordinates"":[-95.62931,29.78026]}",Petroleum and Natural Gas Systems,71229.412
Horn Rapids Landfill,46.3449,-119.345854,"{""type"":""Point"",""coordinates"":[-119.345854,46.3449]}",Waste,26869.75
Horsehead Corp. - Barnwell,33.248394,-81.484959,"{""type"":""Point"",""coordinates"":[-81.484959,33.248394]}",Metals,109479.336
Horsehead Corp. - Chicago,41.687645,-87.554435,"{""type"":""Point"",""coordinates"":[-87.554435,41.687645]}",Metals,111761.576
Horsehead Corp. - Palmerton,40.80833,-75.58333,"{""type"":""Point"",""coordinates"":[-75.58333,40.80833]}",Metals,197960.708
Horsehead Corp. - Rockwood,35.86959,-84.69576,"{""type"":""Point"",""coordinates"":[-84.69576,35.86959]}",Metals,96876.792
Horseshoe Lake,35.5089,-97.1789,"{""type"":""Point"",""coordinates"":[-97.1789,35.5089]}",Power Plants,312990.088
Hot Spring Energy Facility,34.2963,-92.8683,"{""type"":""Point"",""coordinates"":[-92.8683,34.2963]}",Power Plants,1010597.604
Houma,29.5808,-90.7222,"{""type"":""Point"",""coordinates"":[-90.7222,29.5808]}",Power Plants,31287.784
Houston Gas Plant,40.26274,-80.25673,"{""type"":""Point"",""coordinates"":[-80.25673,40.26274]}","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",48253.226
"Houweling Nurseries Oxnard, Inc",34.175971,-119.066375,"{""type"":""Point"",""coordinates"":[-119.066375,34.175971]}",Other,39558.8
Howard M Down,39.4889,-75.0347,"{""type"":""Point"",""coordinates"":[-75.0347,39.4889]}",Power Plants,41450.772
Huber Specialty Hydrates,34.57451,-92.52937,"{""type"":""Point"",""coordinates"":[-92.52937,34.57451]}",Metals,29093.692
Hudson Avenue,40.7052,-73.9807,"{""type"":""Point"",""coordinates"":[-73.9807,40.7052]}",Power Plants,485.992
Hudson Compressor Station,40.2235,-104.7196,"{""type"":""Point"",""coordinates"":[-104.7196,40.2235]}",Petroleum and Natural Gas Systems,72094.328
Hudson Delga Compressor Station,32.77587,-97.321187,"{""type"":""Point"",""coordinates"":[-97.321187,32.77587]}",Petroleum and Natural Gas Systems,19914.376
Hudson Generating Station,40.7478,-74.0719,"{""type"":""Point"",""coordinates"":[-74.0719,40.7478]}",Power Plants,315523.282
Huff,35.5305611,-100.1140778,"{""type"":""Point"",""coordinates"":[-100.1140778,35.5305611]}",Petroleum and Natural Gas Systems,36731.026
Hugo,34.0158,-95.3206,"{""type"":""Point"",""coordinates"":[-95.3206,34.0158]}",Power Plants,2751313.84
Hugoton Compressor Station,37.16652,-101.32745,"{""type"":""Point"",""coordinates"":[-101.32745,37.16652]}",Petroleum and Natural Gas Systems,13750.048
Hugoton Gathering Plant #3,37.20075,-101.521,"{""type"":""Point"",""coordinates"":[-101.521,37.20075]}",Petroleum and Natural Gas Systems,19368.428
"Huhtamaki, Inc.",44.57774,-69.6098,"{""type"":""Point"",""coordinates"":[-69.6098,44.57774]}",Pulp and Paper,24778.776
Humphreys Compressor Station,39.905508,-81.188372,"{""type"":""Point"",""coordinates"":[-81.188372,39.905508]}",Petroleum and Natural Gas Systems,51315.856
Hunlock Creek Energy Center,41.2033,-76.0683,"{""type"":""Point"",""coordinates"":[-76.0683,41.2033]}",Power Plants,389100.308
Hunter,39.1747,-111.0289,"{""type"":""Point"",""coordinates"":[-111.0289,39.1747]}",Power Plants,9404901.878
Hunterstown Combined Cycle,39.8725,-77.1672,"{""type"":""Point"",""coordinates"":[-77.1672,39.8725]}",Power Plants,2022444.912
Huntington,39.3792,-111.0781,"{""type"":""Point"",""coordinates"":[-111.0781,39.3792]}",Power Plants,5605835.368
Huntley Power,42.97,-78.93,"{""type"":""Point"",""coordinates"":[-78.93,42.97]}",Power Plants,442011.906
Huntsman Petrochemical LLC (Chocolate Bayou Plant),29.418771,-95.239067,"{""type"":""Point"",""coordinates"":[-95.239067,29.418771]}",Chemicals,38833.204
I 35 Station,28.152355,-99.34216,"{""type"":""Point"",""coordinates"":[-99.34216,28.152355]}",Petroleum and Natural Gas Systems,41535.134
I-66 LF,38.853748,-77.372519,"{""type"":""Point"",""coordinates"":[-77.372519,38.853748]}",Waste,18302
I-95 LANDFILL,38.690583,-77.237391,"{""type"":""Point"",""coordinates"":[-77.237391,38.690583]}",Waste,38190
"IAC ALBEMARLE, LLC.",35.39466,-80.20477,"{""type"":""Point"",""coordinates"":[-80.20477,35.39466]}",Other,43156.904
"ICG Beckley, LLC",37.77946,-81.26781,"{""type"":""Point"",""coordinates"":[-81.26781,37.77946]}",Other,586636.246
ICL PERFORMANCE PRODUCTS LP,38.98066,-95.20919,"{""type"":""Point"",""coordinates"":[-95.20919,38.98066]}",Chemicals,50540.456
ICM Biofuels LLC,39.74025,-94.846817,"{""type"":""Point"",""coordinates"":[-94.846817,39.74025]}","Other,Waste",79836.05
IESI Buffalo Creek Landfill,33.95224,-98.68489,"{""type"":""Point"",""coordinates"":[-98.68489,33.95224]}",Waste,97411.55
IESI Cherokee Village Landfill,36.281344,-91.632378,"{""type"":""Point"",""coordinates"":[-91.632378,36.281344]}",Waste,84934.75
IESI East Texas Regional Landfill,32.118437,-94.707114,"{""type"":""Point"",""coordinates"":[-94.707114,32.118437]}",Waste,87738.1
IESI Hardin County Landfill,30.341358,-94.3567,"{""type"":""Point"",""coordinates"":[-94.3567,30.341358]}",Waste,39878.75
IESI MO Champ Landfill,38.7431,-90.4587,"{""type"":""Point"",""coordinates"":[-90.4587,38.7431]}",Waste,176079.75
IESI PA BETHLEHEM LDFL,40.624728,-75.304334,"{""type"":""Point"",""coordinates"":[-75.304334,40.624728]}",Waste,43841.148
IESI PA BLUE RIDGE L/R & A BENDER LDFL,39.9661,-77.5581,"{""type"":""Point"",""coordinates"":[-77.5581,39.9661]}",Waste,170957.648
IESI TIMBER RIDGE LANDFILL,38.176056,-90.771056,"{""type"":""Point"",""coordinates"":[-90.771056,38.176056]}",Waste,64573.75
IESI TIMBERLANE LANDFILL,30.86936,-92.610974,"{""type"":""Point"",""coordinates"":[-92.610974,30.86936]}",Waste,231320.5
IESI TURKEY CREEK LANDFILL,32.3575,-97.203888,"{""type"":""Point"",""coordinates"":[-97.203888,32.3575]}",Waste,235118.75
IESI Weatherford Landfill,32.7148,-97.8601,"{""type"":""Point"",""coordinates"":[-97.8601,32.7148]}",Waste,79783.75
IFF CHEMICAL HOLDINGS INC,30.34774,-81.7494,"{""type"":""Point"",""coordinates"":[-81.7494,30.34774]}",Chemicals,38581.19
IGNACIO GAS PLANT,37.144682,-107.784839,"{""type"":""Point"",""coordinates"":[-107.784839,37.144682]}","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",431640.304
IIG Mineral Wool. LLC,32.417451,-85.04413,"{""type"":""Point"",""coordinates"":[-85.04413,32.417451]}",Minerals,28470.49
ILLINOIS CEMENT CO,41.329483,-89.081612,"{""type"":""Point"",""coordinates"":[-89.081612,41.329483]}",Minerals,685096.016
ILLINOIS CORN PROCESSING LLC,40.556501,-89.666235,"{""type"":""Point"",""coordinates"":[-89.666235,40.556501]}",Other,131067.702
ILLINOIS LANDFILL INC,40.442376,-87.647368,"{""type"":""Point"",""coordinates"":[-87.647368,40.442376]}",Waste,58983.45
ILLINOIS STATE UNIVERSITY,40.51044,-88.99287,"{""type"":""Point"",""coordinates"":[-88.99287,40.51044]}",Other,27095.248
"IM Flash Technologies, LLC",40.429165,-111.823859,"{""type"":""Point"",""coordinates"":[-111.823859,40.429165]}",Other,325215.6972677
IMCO RECYCLING OF OHIO LLC,40.36884,-81.34657,"{""type"":""Point"",""coordinates"":[-81.34657,40.36884]}",Metals,69893.636
IMERYS CARBONATES LLC,33.16445,-86.29805,"{""type"":""Point"",""coordinates"":[-86.29805,33.16445]}",Other,46429.276
IMERYS Deepstep Road Plant,33.025747,-82.956227,"{""type"":""Point"",""coordinates"":[-82.956227,33.025747]}",Other,32976.272
IMERYS SANDERSVILLE CALCINE PLANT,32.96484,-82.82182,"{""type"":""Point"",""coordinates"":[-82.82182,32.96484]}",Minerals,42349.292
IMPERIAL Landfill,40.4373,-80.28923,"{""type"":""Point"",""coordinates"":[-80.28923,40.4373]}",Waste,31588.15
IN KOTE IN TEK,41.6974,-86.4674,"{""type"":""Point"",""coordinates"":[-86.4674,41.6974]}",Metals,106507.548
INCOBRASA INDUSTRIES LTD,40.762435,-88.014341,"{""type"":""Point"",""coordinates"":[-88.014341,40.762435]}",Other,40242.148
INDECK ENERGY - ALEXANDRIA LLC,43.561322,-71.781728,"{""type"":""Point"",""coordinates"":[-71.781728,43.561322]}",Power Plants,2116.984
INDEPENDENCE POWER & LIGHT - Sub J,39.094021,-94.410759,"{""type"":""Point"",""coordinates"":[-94.410759,39.094021]}",Power Plants,116.598
INDEPENDENCE POWER AND LIGHT - SUB STATION H,39.10602,-94.38002,"{""type"":""Point"",""coordinates"":[-94.38002,39.10602]}",Power Plants,5720.08
INDEPENDENCE POWER AND LIGHT - SUB STATION I,39.05804,-94.39276,"{""type"":""Point"",""coordinates"":[-94.39276,39.05804]}",Power Plants,150.096
"INDEPENDENCE, MO CITY PS",39.23118,-94.30836,"{""type"":""Point"",""coordinates"":[-94.30836,39.23118]}",Power Plants,26531.408
INDIAN BASIN GAS PLANT,32.466667,-104.570556,"{""type"":""Point"",""coordinates"":[-104.570556,32.466667]}","Injection of CO2,Petroleum and Natural Gas Systems",120058.404
INDIAN CREEK LANDFILL #2,40.418206,-89.468044,"{""type"":""Point"",""coordinates"":[-89.468044,40.418206]}",Waste,106439.25
INDIAN RIVER COUNTY LANDFILL,27.579974,-80.480171,"{""type"":""Point"",""coordinates"":[-80.480171,27.579974]}",Waste,20803.75
INDIAN SPRINGS GAS PLANT,30.756994,-94.700323,"{""type"":""Point"",""coordinates"":[-94.700323,30.756994]}",Petroleum and Natural Gas Systems,164398.55
INDIANA UNIVERSITY,39.16425,-86.515004,"{""type"":""Point"",""coordinates"":[-86.515004,39.16425]}",Other,108249.608
INDSPEC CHEMICAL CORPORATION,41.019022,-79.716278,"{""type"":""Point"",""coordinates"":[-79.716278,41.019022]}",Chemicals,111867.828
INEOS ABS,39.1347,-84.7122,"{""type"":""Point"",""coordinates"":[-84.7122,39.1347]}",Other,51173.406
"INEOS Americas, LLC",29.731667,-95.154444,"{""type"":""Point"",""coordinates"":[-95.154444,29.731667]}",Chemicals,63927.46
INEOS CHOCOLATE BAYOU PLANT,29.230631,-95.188487,"{""type"":""Point"",""coordinates"":[-95.188487,29.230631]}",Chemicals,2306957.44
INEOS NOVA LLC BAYPORT SITE,29.598883,-95.013606,"{""type"":""Point"",""coordinates"":[-95.013606,29.598883]}",Chemicals,373599.644
INEOS NOVA LLC Texas City Site,29.359644,-94.931297,"{""type"":""Point"",""coordinates"":[-94.931297,29.359644]}",Chemicals,79059.646
INEOS POLYETHYLENE,29.718368,-95.08583,"{""type"":""Point"",""coordinates"":[-95.08583,29.718368]}",Other,152141.424
INEOS POLYPROPYLENE,29.718368,-95.08583,"{""type"":""Point"",""coordinates"":[-95.08583,29.718368]}",Other,5524.68
INEOS USA LLC,40.714167,-84.132222,"{""type"":""Point"",""coordinates"":[-84.132222,40.714167]}",Chemicals,116902.748
INGEVITY SC LLC CHARLESTON CHEMICAL PLANT,32.89778,-79.97299,"{""type"":""Point"",""coordinates"":[-79.97299,32.89778]}",Chemicals,25309.234
"INGEVITY SOUTH CAROLINA, LLC - DeRidder Plant",30.822158,-93.284901,"{""type"":""Point"",""coordinates"":[-93.284901,30.822158]}",Chemicals,59104.476
INGEVITY VIRGINIA CORPORATION - CARBON PLANT,36.95,-89.066111,"{""type"":""Point"",""coordinates"":[-89.066111,36.95]}",Chemicals,72968.276
INGREDION INCORPORATED,41.96867,-91.66646,"{""type"":""Point"",""coordinates"":[-91.66646,41.96867]}",Other,126140.024
INMETCO,40.859451,-80.258591,"{""type"":""Point"",""coordinates"":[-80.258591,40.859451]}",Metals,39129.992
INTEL - RIO RANCHO FACILITY,35.23133,-106.65608,"{""type"":""Point"",""coordinates"":[-106.65608,35.23133]}",Other,121799.4424546
INTEL CORPORATION,33.24591,-111.88146,"{""type"":""Point"",""coordinates"":[-111.88146,33.24591]}",Other,298357.917165
INTEL CORPORATION ALOHA CAMPUS,45.49374,-122.88434,"{""type"":""Point"",""coordinates"":[-122.88434,45.49374]}",Other,28999.0608
INTEL CORPORATION RONLER ACRES CAMPUS,45.543333,-122.917222,"{""type"":""Point"",""coordinates"":[-122.917222,45.543333]}",Other,295072.6603993
INTERNATIONAL MATEX TANK TERMINALS - ST ROSE TERMINAL,29.942846,-90.331241,"{""type"":""Point"",""coordinates"":[-90.331241,29.942846]}",Other,25281.448
INTERNATIONAL PAPER - BOGALUSA MILL,30.7766,-89.8577,"{""type"":""Point"",""coordinates"":[-89.8577,30.7766]}",Pulp and Paper,106779.326
INTERNATIONAL PAPER - HENDERSON MILL,37.81649,-87.58793,"{""type"":""Point"",""coordinates"":[-87.58793,37.81649]}",Pulp and Paper,48145.268
INTERNATIONAL PAPER SAVANNA MILL,32.10387,-81.123062,"{""type"":""Point"",""coordinates"":[-81.123062,32.10387]}",Pulp and Paper,393204.912
INTERNATIONAL WAXES INC,41.860556,-78.445,"{""type"":""Point"",""coordinates"":[-78.445,41.860556]}",Petroleum and Natural Gas Systems,155859.798
INTERSTATE PAPER LLC,31.741994,-81.40669,"{""type"":""Point"",""coordinates"":[-81.40669,31.741994]}","Pulp and Paper,Waste",83616.75
INTERSTATE WASTE REMOVAL PARKLANDS RECLM SLF,40.1272,-74.7111,"{""type"":""Point"",""coordinates"":[-74.7111,40.1272]}",Waste,2737.7
INTREPID POTASH EAST KCL COMPACTION,32.5031,-103.78251,"{""type"":""Point"",""coordinates"":[-103.78251,32.5031]}",Other,78706.652
INTREPID POTASH NORTH COMPACTION PLANT,32.57074,-103.80377,"{""type"":""Point"",""coordinates"":[-103.80377,32.57074]}",Other,7831.272
INTREPID POTASH WEST FLOTATION PLANT,32.497165,-103.95367,"{""type"":""Point"",""coordinates"":[-103.95367,32.497165]}",Other,8114.22
INVISTA,34.31309,-77.9786,"{""type"":""Point"",""coordinates"":[-77.9786,34.31309]}",Other,14506.796
INVISTA - Chattanooga,35.10865,-85.247269,"{""type"":""Point"",""coordinates"":[-85.247269,35.10865]}",Other,68687.026
INVISTA ORANGE SITE,30.054167,-93.752208,"{""type"":""Point"",""coordinates"":[-93.752208,30.054167]}",Chemicals,943293.148
INVISTA S.a r.l.,28.673056,-96.953611,"{""type"":""Point"",""coordinates"":[-96.953611,28.673056]}",Chemicals,2006224.31
INVISTA S.a.r.l. Camden Plant,34.2337,-80.658,"{""type"":""Point"",""coordinates"":[-80.658,34.2337]}",Other,136578.556
INVISTA S.Ã  r.l. WAYNESBORO FACILITY,38.061111,-78.883333,"{""type"":""Point"",""coordinates"":[-78.883333,38.061111]}",Other,33509.524
IOI LODERS CROKLAAN,41.40898,-88.21016,"{""type"":""Point"",""coordinates"":[-88.21016,41.40898]}",Other,46568.224
IOWA CITY SANITARY LANDFILL,41.653529,-91.628034,"{""type"":""Point"",""coordinates"":[-91.628034,41.653529]}",Waste,24682.448
IOWA ETHANOL LLC D.B.A. POET Biorefining - Hanlontown,43.2575,-93.388333,"{""type"":""Point"",""coordinates"":[-93.388333,43.2575]}",Other,85182
IOWA STATE UNIVERSITY/ ISU HEATING PLANT,42.027734,-93.639466,"{""type"":""Point"",""coordinates"":[-93.639466,42.027734]}",Other,287856.038
IPL Eagle Valley Generating Station,39.4851,-86.4176,"{""type"":""Point"",""coordinates"":[-86.4176,39.4851]}",Power Plants,241804.752
IPSCO KOPPEL TUBULARS CORP AMBRIDGE PLT,40.610019,-80.232272,"{""type"":""Point"",""coordinates"":[-80.232272,40.610019]}",Metals,40988.196
IPSCO KOPPEL TUBULARS CORP KOPPEL WORKS,40.83557,-80.321971,"{""type"":""Point"",""coordinates"":[-80.321971,40.83557]}",Metals,48763.596
IREDELL CO-TWINS OAKS RD;3260,35.76983,-80.82663,"{""type"":""Point"",""coordinates"":[-80.82663,35.76983]}",Waste,81518.238
IRIS GLEN ENVIRONMENTAL CENTER,36.32624,-82.32935,"{""type"":""Point"",""coordinates"":[-82.32935,36.32624]}",Waste,42043.45
IRONWOOD LANDFILL,33.01127,-111.43241,"{""type"":""Point"",""coordinates"":[-111.43241,33.01127]}",Waste,33154
"IROQUOIS GAS TRANSMISSION SYSTEM, L.P. - BROOKFIELD COMPRESSOR STATION",41.43368,-73.37258,"{""type"":""Point"",""coordinates"":[-73.37258,41.43368]}",Petroleum and Natural Gas Systems,52315.908
"IROQUOIS GAS TRANSMISSION SYSTEM, L.P. - WRIGHT COMPRESSOR STATION",42.69795,-74.23071,"{""type"":""Point"",""coordinates"":[-74.23071,42.69795]}",Petroleum and Natural Gas Systems,19165.884
ISLIP MCARTHUR RESOURCE RECOVERY FACIL,40.786445,-73.10577,"{""type"":""Point"",""coordinates"":[-73.10577,40.786445]}",Waste,51344.792
ISOLATEK INTERNATIONAL,40.88634,-85.47113,"{""type"":""Point"",""coordinates"":[-85.47113,40.88634]}",Minerals,23054.512
ISP CHEMICALS LLC,37.047737,-88.35866,"{""type"":""Point"",""coordinates"":[-88.35866,37.047737]}","Chemicals,Waste",72640.682
ISP LIMA LLC,40.718333,-84.116389,"{""type"":""Point"",""coordinates"":[-84.116389,40.718333]}",Chemicals,121165.198
ISP TECHNOLOGIES TEXAS CITY PLANT,29.42807,-94.995369,"{""type"":""Point"",""coordinates"":[-94.995369,29.42807]}",Chemicals,31037.284
ITASCA LANDFILL,32.186802,-97.109574,"{""type"":""Point"",""coordinates"":[-97.109574,32.186802]}",Waste,65034.75
Iatan,39.4472,-94.98,"{""type"":""Point"",""coordinates"":[-94.98,39.4472]}",Power Plants,8911498.108
Ike & Mike Compressor Station,39.302535,-80.430083,"{""type"":""Point"",""coordinates"":[-80.430083,39.302535]}",Petroleum and Natural Gas Systems,28585.792
"Imerys Minerals California, Inc.",34.600471,-120.454797,"{""type"":""Point"",""coordinates"":[-120.454797,34.600471]}",Other,36378.264
Imerys Oilfield Minerals,,,,Minerals,4142.884
Imerys Oilfield Solutions,33.18192,-82.366887,"{""type"":""Point"",""coordinates"":[-82.366887,33.18192]}",Other,14072.294
Indeck-Corinth Energy Center,43.25,-73.8125,"{""type"":""Point"",""coordinates"":[-73.8125,43.25]}",Power Plants,343545.44
Indeck-Olean Energy Center,42.0875,-78.4578,"{""type"":""Point"",""coordinates"":[-78.4578,42.0875]}",Power Plants,188225.856
Indeck-Oswego Energy Center,43.4682,-76.4965,"{""type"":""Point"",""coordinates"":[-76.4965,43.4682]}",Power Plants,45183.574
Indeck-Silver Springs Energy Center,42.6544,-78.0772,"{""type"":""Point"",""coordinates"":[-78.0772,42.6544]}",Power Plants,57326.932
Indeck-Yerkes Energy Center,42.9671,-78.9182,"{""type"":""Point"",""coordinates"":[-78.9182,42.9671]}",Power Plants,83475.588
Independence,35.6733,-91.4083,"{""type"":""Point"",""coordinates"":[-91.4083,35.6733]}",Power Plants,5118693.496
Independence,43.495,-76.4508,"{""type"":""Point"",""coordinates"":[-76.4508,43.495]}",Power Plants,2561940.056
"Independence Hub, Mississippi Canyon 920 Platform",28.0851,-86.0142,"{""type"":""Point"",""coordinates"":[-86.0142,28.0851]}",Petroleum and Natural Gas Systems,36779.684
Indian Creek Gas Plant,35.899458,-100.830681,"{""type"":""Point"",""coordinates"":[-100.830681,35.899458]}",Petroleum and Natural Gas Systems,32081.09
Indian Creek-Crow Compressor Station,44.1474,-106.2917,"{""type"":""Point"",""coordinates"":[-106.2917,44.1474]}",Petroleum and Natural Gas Systems,18381.28
Indian River,38.5857,-75.2341,"{""type"":""Point"",""coordinates"":[-75.2341,38.5857]}",Power Plants,574372.546
Indiana Harbor Coke Company,41.65442,-87.44691,"{""type"":""Point"",""coordinates"":[-87.44691,41.65442]}",Metals,1145804.116
"Indiantown Cogeneration, LP",27.0393,-80.5144,"{""type"":""Point"",""coordinates"":[-80.5144,27.0393]}",Power Plants,768023.58
Indigo Generation Facility,33.9114,-116.5533,"{""type"":""Point"",""coordinates"":[-116.5533,33.9114]}",Power Plants,35505.32
Infineon Technologies Americas Corp,33.49885,-117.1643,"{""type"":""Point"",""coordinates"":[-117.1643,33.49885]}",Other,40108.090773
Ingredion Inc.,39.125992,-94.57328,"{""type"":""Point"",""coordinates"":[-94.57328,39.125992]}",Other,30334.136
Ingredion Incorporated,37.90971,-121.26342,"{""type"":""Point"",""coordinates"":[-121.26342,37.90971]}",Other,76344.812
Ingredion Incorporated Argo Plant,41.7775,-87.8233,"{""type"":""Point"",""coordinates"":[-87.8233,41.7775]}",Other,849787.696
"Ingredion Incorporated, Indianapolis Plant",39.744833,-86.174306,"{""type"":""Point"",""coordinates"":[-86.174306,39.744833]}",Other,66139.752
Inland Empire Energy Center,33.7393,-117.1701,"{""type"":""Point"",""coordinates"":[-117.1701,33.7393]}",Power Plants,361163.36
Inlet District Energy Center,39.364936,-74.415557,"{""type"":""Point"",""coordinates"":[-74.415557,39.364936]}",Power Plants,3025.534
"Innovia Films, Inc.",39.05336,-95.557551,"{""type"":""Point"",""coordinates"":[-95.557551,39.05336]}",Other,35639.516
"Intel Massachusetts, Inc.",42.37938,-71.55696,"{""type"":""Point"",""coordinates"":[-71.55696,42.37938]}",Other,17136.24694
Intercession City Power Plant,28.2628,-81.5486,"{""type"":""Point"",""coordinates"":[-81.5486,28.2628]}",Power Plants,219879.476
Intermountain Generating Station,39.5035,-112.5811,"{""type"":""Point"",""coordinates"":[-112.5811,39.5035]}",Power Plants,1.0849633325E7
International Paper - Augusta Mill,33.3286,-81.9537,"{""type"":""Point"",""coordinates"":[-81.9537,33.3286]}","Pulp and Paper,Waste",350495.184
International Paper - Canton Landfill 5B/5C,35.552899,-82.832451,"{""type"":""Point"",""coordinates"":[-82.832451,35.552899]}",Waste,24857
International Paper - Chunchula Landfill,30.885739,-88.195522,"{""type"":""Point"",""coordinates"":[-88.195522,30.885739]}",Waste,23093.75
International Paper - Erie Lowville Landfill III,42.036048,-79.847748,"{""type"":""Point"",""coordinates"":[-79.847748,42.036048]}",Waste,69281.75
International Paper - Georgetown Mill,33.364166,-79.303279,"{""type"":""Point"",""coordinates"":[-79.303279,33.364166]}","Pulp and Paper,Waste",326503.862
International Paper - Mansfield Mill,32.15889,-93.55667,"{""type"":""Point"",""coordinates"":[-93.55667,32.15889]}","Pulp and Paper,Waste",593824.172
International Paper - Maysville Mill,38.69004,-83.80226,"{""type"":""Point"",""coordinates"":[-83.80226,38.69004]}",Waste,44031.75
International Paper - Orange Mill,30.19347,-93.79798,"{""type"":""Point"",""coordinates"":[-93.79798,30.19347]}","Pulp and Paper,Waste",257094.89
International Paper - Pensacola Mill,30.60539,-87.322938,"{""type"":""Point"",""coordinates"":[-87.322938,30.60539]}",Pulp and Paper,272284.372
International Paper - Pine Hill Mill,31.969744,-87.480695,"{""type"":""Point"",""coordinates"":[-87.480695,31.969744]}","Pulp and Paper,Waste",280597.11
International Paper - Red River Mill,31.905326,-93.173636,"{""type"":""Point"",""coordinates"":[-93.173636,31.905326]}","Pulp and Paper,Waste",173261.636
International Paper - Roanoke Rapids Landfill,36.462894,-77.636997,"{""type"":""Point"",""coordinates"":[-77.636997,36.462894]}",Waste,23989.75
International Paper - Springfield Mill,44.055179,-122.952998,"{""type"":""Point"",""coordinates"":[-122.952998,44.055179]}",Pulp and Paper,94416.518
International Paper - Texarkana Mill,33.2644,-94.069639,"{""type"":""Point"",""coordinates"":[-94.069639,33.2644]}","Pulp and Paper,Waste",240342.982
International Paper - Valliant Mill,33.99919,-95.10972,"{""type"":""Point"",""coordinates"":[-95.10972,33.99919]}","Pulp and Paper,Waste",386929.06
International Paper - Vicksburg Mill,32.52923,-90.774508,"{""type"":""Point"",""coordinates"":[-90.774508,32.52923]}","Pulp and Paper,Waste",139506.382
International Paper Company - Newport Mill,39.908167,-87.415361,"{""type"":""Point"",""coordinates"":[-87.415361,39.908167]}",Waste,31529.25
International Paper Former Bastrop Mill Landfill,32.783323,-91.90935,"{""type"":""Point"",""coordinates"":[-91.90935,32.783323]}",Waste,33182.75
International Paper Franklin Landfill,36.67281,-76.887284,"{""type"":""Point"",""coordinates"":[-76.887284,36.67281]}",Waste,158238.25
International Paper Mobile Closed Landfill,30.751683,-88.054862,"{""type"":""Point"",""coordinates"":[-88.054862,30.751683]}",Waste,46033.5
International Paper ROME LINERBOARD MILL,34.253386,-85.329071,"{""type"":""Point"",""coordinates"":[-85.329071,34.253386]}","Pulp and Paper,Waste",417533.914
International Paper Rock Crossing Landfill,30.598056,-87.380556,"{""type"":""Point"",""coordinates"":[-87.380556,30.598056]}",Waste,30301
International Paper Ticonderoga Mill,43.8914,-73.3961,"{""type"":""Point"",""coordinates"":[-73.3961,43.8914]}","Pulp and Paper,Waste",284483.584
International Paper-Courtland Mill,34.735,-87.3108,"{""type"":""Point"",""coordinates"":[-87.3108,34.735]}",Waste,115698.75
International Paper-Eastover Mill,33.8872,-80.6397,"{""type"":""Point"",""coordinates"":[-80.6397,33.8872]}","Pulp and Paper,Waste",386283.326
International Paper-Franklin Mill,36.6803,-76.9128,"{""type"":""Point"",""coordinates"":[-76.9128,36.6803]}","Pulp and Paper,Waste",95792.44
International Paper-Prattville Mill,32.4167,-86.4667,"{""type"":""Point"",""coordinates"":[-86.4667,32.4167]}","Pulp and Paper,Waste",418320.354
International Paper-Riegelwood,34.3528,-78.2028,"{""type"":""Point"",""coordinates"":[-78.2028,34.3528]}","Pulp and Paper,Waste",401493.576
International Paper-Riverdale Mill,32.425,-86.8694,"{""type"":""Point"",""coordinates"":[-86.8694,32.425]}","Pulp and Paper,Waste",356965.41
International Station Power Plant,61.168307,-149.908115,"{""type"":""Point"",""coordinates"":[-149.908115,61.168307]}",Power Plants,510142.628
